smiles,Mol ID,canonical_smiles
CC1=C(C2=CSC(C3=CC(C(N)=O)=CC=C3)=N2)OC=N1,MOL_678,Cc1ncoc1-c1csc(-c2cccc(C(N)=O)c2)n1
CC1=NC(C2=CC=C(C(=O)N3CCN(C)C(C4=CN(C5=CC(N)=CC=C5C)N=N4)C3)S2)=CS1,MOL_679,Cc1nc(-c2ccc(C(=O)N3CCN(C)C(c4cn(-c5cc(N)ccc5C)nn4)C3)s2)cs1
CSC1=CC=C(C2=CSC(NC(=O)C3=CC4=C(CCOC4)N=N3)=N2)C=C1,MOL_680,CSc1ccc(-c2csc(NC(=O)c3cc4c(nn3)CCOC4)n2)cc1
Nc1ncnc2c1c(-c1cncc(O)c1)cn2C1CCC1,MOL_681,Nc1ncnc2c1c(-c1cncc(O)c1)cn2C1CCC1
FC(F)(F)C1=C(C2=NOC(C3=CNC4=NC=CC=C34)=N2)C=CS1,MOL_682,FC(F)(F)c1sccc1-c1noc(-c2c[nH]c3ncccc23)n1
NCC1=CN2C=C(C3=NC(C4=CC=CO4)=NO3)C=CC2=N1,MOL_683,NCc1cn2cc(-c3nc(-c4ccco4)no3)ccc2n1
COC(=O)C1=C(C(=O)N2CCOC(CC3=CN(C4=CC(N)=CC=C4Cl)N=N3)C2)C=CN1,MOL_684,COC(=O)c1[nH]ccc1C(=O)N1CCOC(Cc2cn(-c3cc(N)ccc3Cl)nn2)C1
CC1=NN(C2=CC=C(Cl)C=C2Cl)C(C)=C1CC1=NC(C2=CC=CNC2=O)=NO1,MOL_685,Cc1nn(-c2ccc(Cl)cc2Cl)c(C)c1Cc1nc(-c2ccc[nH]c2=O)no1
CCC1=CC=C(C2=NC(CC(C)(C)NC(=O)C3=CSC(C4=CC=NN4C)=N3)=CS2)C=C1,MOL_686,CCc1ccc(-c2nc(CC(C)(C)NC(=O)c3csc(-c4ccnn4C)n3)cs2)cc1
CN1C=CC(C(=O)NC2CCN(CC3=NC(C4=CNC5=NC=C(Br)C=C45)=CS3)CC2)=C1,MOL_687,Cn1ccc(C(=O)NC2CCN(Cc3nc(-c4c[nH]c5ncc(Br)cc45)cs3)CC2)c1
O=C(C1=C(C2CCCO2)OC=N1)N1CCC(NC2=NC(C3=CC(F)=CC(F)=C3)=CS2)C1,MOL_688,O=C(c1ncoc1C1CCCO1)N1CCC(Nc2nc(-c3cc(F)cc(F)c3)cs2)C1
CN1C=CN=C(NCC2CN(C3=NC=C(Cl)C(C4=CNC5=CC=CC=C45)=N3)CCO2)C1=O,MOL_689,Cn1ccnc(NCC2CN(c3ncc(Cl)c(-c4c[nH]c5ccccc45)n3)CCO2)c1=O
O=C(CF)C1=CC=C(C(=O)N2CCO[C@@H](C3=CN(CCC4=CC=CC=N4)N=N3)C2)C=C1,MOL_690,O=C(CF)c1ccc(C(=O)N2CCO[C@@H](c3cn(CCc4ccccn4)nn3)C2)cc1
CC1=CC=C(C2=NC(C(=O)N3CCO[C@@H](C4=CN(C5=CC(N)=CC=C5)N=N4)C3)=CS2)C=C1,MOL_691,Cc1ccc(-c2nc(C(=O)N3CCO[C@@H](c4cn(-c5cccc(N)c5)nn4)C3)cs2)cc1
CN(C)C1=NC2=C(NC(=O)C3=CSC(C4=CC=NC=C4)=N3)N=CN=C2N1C,MOL_692,CN(C)c1nc2c(NC(=O)c3csc(-c4ccncc4)n3)ncnc2n1C
CN1N=CC2=CC=CC(C3=NC(C4=CC=C(F)C=C4)=CS3)=C21,MOL_693,Cn1ncc2cccc(-c3nc(-c4ccc(F)cc4)cs3)c21
O=C(C1CC2=CC=CC=C2CN1C(=O)C1=CSC(C2=CC=C3OCOC3=C2)=N1)N1CCCC1,MOL_694,O=C(C1Cc2ccccc2CN1C(=O)c1csc(-c2ccc3c(c2)OCO3)n1)N1CCCC1
Clc1ncnc2c1c(-c1cccnc1)cn2C1C=CCOC1,MOL_695,Clc1ncnc2c1c(-c1cccnc1)cn2C1C=CCOC1
Nc1cc(-c2cnc3[nH]cc(Cl)c3c2)cc(N)n1,MOL_696,Nc1cc(-c2cnc3[nH]cc(Cl)c3c2)cc(N)n1
NC1=NC=C2CC(NC3=C4C=CC=C(F)C4=NC(NCC4=CC=CC=C4)=N3)CCC2=N1,MOL_697,Nc1ncc2c(n1)CCC(Nc1nc(NCc3ccccc3)nc3c(F)cccc13)C2
CC1=NN(CCO)C=C1C1=C(NCC2=CC(Cl)=CC=C2)N2C(C3=CN(C)N=C3)=CC=CC2=N1,MOL_698,Cc1nn(CCO)cc1-c1nc2cccc(-c3cnn(C)c3)n2c1NCc1cccc(Cl)c1
CC1=C(C2=CSC(C3=CC=CC(CNC(=O)C4=CC=C5C(=O)NCCC5=C4)=C3)=N2)N=CO1,MOL_699,Cc1ocnc1-c1csc(-c2cccc(CNC(=O)c3ccc4c(c3)CCNC4=O)c2)n1
Cc1nc(-c2ccc3ccc(=O)[nH]c3c2)ccc1N,MOL_700,Cc1nc(-c2ccc3ccc(=O)[nH]c3c2)ccc1N
FC1=NC(C2=C(Cl)C3=CC=CC=C3C=C2)=CS1,MOL_701,Fc1nc(-c2ccc3ccccc3c2Cl)cs1
CC1=NC(C2=CC=C(C(=O)N3CCN(C)C(C4=NC(C5CC5)=NO4)C3)C=C2)=CS1,MOL_702,Cc1nc(-c2ccc(C(=O)N3CCN(C)C(c4nc(C5CC5)no4)C3)cc2)cs1
Cc1cc2cc(-c3cc(N)nc(Cl)c3)cnc2[nH]1,MOL_703,Cc1cc2cc(-c3cc(N)nc(Cl)c3)cnc2[nH]1
NC(=O)C1=CSC(NC(=O)C2=C(C3=CC=C4OCOC4=C3)NN=C2)=N1,MOL_704,NC(=O)c1csc(NC(=O)c2cn[nH]c2-c2ccc3c(c2)OCO3)n1
CC1=CC=C2C(=O)C(C(=O)N[C@H](C3=CSC(C4=CC=NC=N4)=N3)C(C)C)=CN(C)C2=N1,MOL_705,Cc1ccc2c(=O)c(C(=O)N[C@H](c3csc(-c4ccncn4)n3)C(C)C)cn(C)c2n1
CC(=O)NC1=CN=CC(C2=CC=CC(C3=NC(C#N)=NN3)=C2)=C1,MOL_706,CC(=O)Nc1cncc(-c2cccc(-c3nc(C#N)n[nH]3)c2)c1
CC1=C2N=CC(C3=CNC4=NC=CC=C34)=CN2N=C1,MOL_707,Cc1cnn2cc(-c3c[nH]c4ncccc34)cnc12
Cc1c(N)cc(-c2cc(C)c3cc[nH]c3n2)cc1F,MOL_708,Cc1c(N)cc(-c2cc(C)c3cc[nH]c3n2)cc1F
CC(C)COC1=CC=C(C(=O)N2CCC(NC3=NC(C4=CC=NN4C)=CS3)CC2)C=C1,MOL_709,CC(C)COc1ccc(C(=O)N2CCC(Nc3nc(-c4ccnn4C)cs3)CC2)cc1
CC1=CN=CC(C2=CSC(C3=CC=NC=C3)=N2)=C1C,MOL_710,Cc1cncc(-c2csc(-c3ccncc3)n2)c1C
CC1=CC=CC=C1N1N=CC(C2=CNC3=NC=CC=C23)=N1,MOL_711,Cc1ccccc1-n1ncc(-c2c[nH]c3ncccc23)n1
CCS(=O)(=O)C1=CC=CN=C1NC(=O)C1=CSC(C2=CC=C(Cl)C(Cl)=C2)=N1,MOL_712,CCS(=O)(=O)c1cccnc1NC(=O)c1csc(-c2ccc(Cl)c(Cl)c2)n1
C1=CN=CC(C2=NN=C(C3=CC=C4OCCCC4=C3)S2)=C1,MOL_713,c1cncc(-c2nnc(-c3ccc4c(c3)CCCO4)s2)c1
Cc1cc(-c2ccc3[nH]c(N)nc(=O)c3n2)ccc1N,MOL_714,Cc1cc(-c2ccc3[nH]c(N)nc(=O)c3n2)ccc1N
NC1=NC2=C(Cl)C=CC(C3=CC=CO3)=C2S1,MOL_715,Nc1nc2c(Cl)ccc(-c3ccco3)c2s1
C1=CC=C2C(=C1)CCCC2C1=NOC(C2=NNC3=NC=CC=C23)=N1,MOL_716,c1ccc2c(c1)CCCC2c1noc(-c2n[nH]c3ncccc23)n1
