smiles,Similarity,MW,LogP,HBD,HBA,TPSA,RotB
COC1=CC(C)=NC=C1C1=C(NCC2=CC=CC=C2)N2C=CC(P(C)(C)=O)=CC2=N1,0.19791666666666666,420.45300000000015,4.573420000000003,1.0,5.0,68.52000000000001,6.0
COC1=CC=CC(C2=NC(C(=O)N3CCC(NC4=NC=CC=N4)CC3)=C(C)N2)=C1,0.19791666666666666,392.46300000000014,2.9004200000000004,2.0,6.0,96.03,5.0
CC1=NC(C)=C(C2=CC=NC(NC(=O)C3=CN(C4=CC(Cl)=CC=C4)N=N3)=N2)S1,0.19791666666666666,411.878,3.7033400000000025,1.0,7.0,98.48,4.0
COC1=CC(C2=CSC(C(C)(F)F)=N2)=CC2=NC=CC=C12,0.19767441860465115,306.337,4.478600000000003,0.0,4.0,35.010000000000005,3.0
CC1=CC(C2=CSC(C3CN(C)CCO3)=N2)=CC=N1,0.19767441860465115,275.37699999999995,2.5166200000000005,0.0,5.0,38.25,2.0
CCOC1=NC=CC(C2=CNC3=NC=C(OC)C=C23)=C1F,0.19767441860465115,287.29400000000004,3.1713000000000013,1.0,4.0,60.03,4.0
CN1C=C(C2=NC(CN)=CS2)C2=CC=CN=C21,0.19753086419753085,244.32300000000004,2.1555,1.0,4.0,56.730000000000004,2.0
COC1=NC=C(C(=O)N2CCN(C)C(C3=CN(CC4=NC5=CC=CC=C5O4)N=N3)C2)C=C1C,0.19626168224299065,447.4990000000002,2.3085199999999997,0.0,8.0,102.41,5.0
COC1=CC=CC(C2=NOC(C(=O)N3CCCC3C3=NC(C4=CC=CN=C4C)=CS3)C2)=C1,0.19626168224299065,448.5480000000002,4.378820000000004,0.0,7.0,76.91000000000001,5.0
COCC1=CC(F)=CC(C(=O)N2CCC(C)(C3=NC(C4=CC=NC=C4F)=CS3)CC2)=C1,0.19607843137254902,443.5190000000001,4.823600000000004,0.0,5.0,55.32,5.0
COC(=O)C1=CC(C(=O)NC(C2=NC(C3=CNC4=NC=CC=C34)=CS2)C2CC2)=CN1,0.19607843137254902,421.48200000000014,3.6822000000000017,3.0,6.0,112.76000000000002,6.0
COC1=CC=CC2=C1NC(C(=O)N1CCC(NC3=NC=C(C4=CC=CC=C4)C=N3)C(F)C1)=C2,0.19607843137254902,445.4980000000001,4.298200000000003,2.0,5.0,83.14,5.0
CN1CCC(NC2=NC(CN(C)C(=O)C3=CC=NC(C4=CC=CO4)=C3)=CS2)CC1,0.19607843137254902,411.5310000000002,3.5764000000000022,1.0,7.0,74.5,6.0
CC1=CC(C(=O)NCC2CN(C3=NC(C4=CC=NN4C)=CC=N3)CCO2)=CS1,0.19607843137254902,398.49200000000013,1.8822199999999996,1.0,7.0,85.17,5.0
COC1CCN(C2=NC=CC(NC(=O)C3=CSC(C4=CC=CC=C4C)=N3)=N2)CC1,0.1958762886597938,409.5150000000002,3.7760200000000017,1.0,7.0,80.24,5.0
COC(=O)N1CCC2=CC(NC(=O)C3=CSC(C4=CC=CC=N4)=N3)=CC=C21,0.1958762886597938,380.4290000000001,3.5863000000000023,1.0,6.0,84.42,3.0
COC(=O)C1=CC(C2=NOC(C3=CSC(C4=CC=NC=C4)=N3)=N2)=CN1C,0.1956521739130435,367.39000000000004,3.047200000000002,0.0,8.0,95.93,4.0
CN1C(N)=NC2=CC(C3=CNC4=NC=CC=C34)=C(Cl)C=C21,0.19540229885057472,297.7490000000001,3.3522000000000007,2.0,3.0,72.52000000000001,1.0
CC1=CC(C2=NOC(C3=CN(C)C4=NC=CC=C34)=N2)=NN1,0.19540229885057472,280.291,2.321819999999999,1.0,5.0,85.41999999999999,2.0
COC1=CC=C(C2=CN(CC(=O)N3CCCC(C4=CNC5=NC=CC=C45)C3)N=N2)C(C)=N1,0.19444444444444445,431.5000000000001,2.9396200000000015,1.0,6.0,101.82,5.0
